OTU_ID	14A0051_8	14A0159_8	14A0319_26	14A0119_8	14A0135_8	14A0465_26	14A0343_8	14A0169_26	14A0263_8	14A0117_8	14A0225_8	14A0471_26	14A0349_26	14A0521_26	14A0576_8	14A0539_26	14A0191_8	14A0305_8	14A0351_26	14A0353_26	14A0421_26	14A0447_26	14A0453_26	14A0461_26	14A0469_26	14A0475_26	14A0485_26	14A0491_26	14A0501_26	14A0505_26	14A0507_26	14A0523_26	14A0031_8	14A0309_26	14A0477_26	14A0497_26	14A0519_26	14A0566_26	14A0569_26	14A0059_8	14A0511_26	14A0023_8	14A0187_8	14A0289_8	14A0291_8	14A0333_26	14A0337_26	14A0261_8	14A0383_26	14A0361_26	14A0572_26	14A0483_26	14A0473_26	14A0095_8	14A0145_8	14A0459_26	14A0155_26	14A0033_8	14A0007_8	14A0015_8	14A0419_26	14A0449_26	14A0001_8	14A0405_26	14A0437_26	14A0564_26	14A0401_26	14A0479_26	14A0549_26	14A0403_26	14A0157_26	14A0443_26	14A0151_8	14A0547_26	14A0427_26	14A0113_26	14A0503_8	14A0035_8	14A0481_26	14A0577_8	14A0387_26	14A0003_8	14A0231_8	14A0423_26	14A0055_8	14A0407_26	14A0463_26	14A0429_26	14A0141_8	14A0105_8	14A0574_26	14A0493_26	14A0529_26	14A0369_26	14A0451_26	14A0331_26	14A0439_26	14A0457_26	14A0073_8	14A0147_8	14A0495_26	14A0273_26	14A0269_26	14A0513_26	14A0441_26	14A0165_8	14A0217_8	14A0425_26	14A0255_8	14A0240_26	14A0047_8	14A0049_8	14A0311_8	14A0389_26	14A0573_26	14A0107_8	14A0013_8	14A0285_26	14A0045_8	14A0129_8	14A0209_26	14A0127_8	14A0215_26	14A0039_8	14A0565_26	14A0097_8	14A0397_26	14A0277_8	14A0317_26	14A0175_8	14A0173_8	14A0295_8	14A0179_8	14A0103_8	14A0313_8	14A0283_8	14A0235_8	14A0101_8	14A0413_26	14A0125_8	14A0133_8	14A0321_8	14A0325_8	14A0053_8	14A0091_8	14A0121_8	14A0299_26	14A0371_26	14A0487_26	14A0057_8	14A0067_8	14A0381_8	14A0533_26	14A0377_8	14A0143_8	14A0393_8	14A0167_26	14A0355_26	14A0221_26	14A0079_26	14A0239_8	14A0171_26	14A0240_8	14A0201_8	14A0281_8	14A0025_8	14A0043_8	14A0271_8	14A0063_8	14A0161_8	14A0307_26	14A0207_8	14A0139_8	14A0219_8	14A0213_8	14A0297_8	14A0385_26	14A0021_8	14A0149_8	14A0137_26	14A0241_8	14A0275_8	14A0467_26	14A0253_26	14A0081_8	14A0069_8	14A0373_26	14A0027_8	14A0109_8	14A0065_8	14A0249_8	14A0083_8	14A0359_26	14A0181_8	14A0153_8	14A0087_26	14A0019_8	14A0357_8	14A0411_26	14A0009_8	14A0199_8	14A0265_8	14A0005_8	14A0267_8	14A0131_8	14A0115_8	14A0183_8	14A0223_26	14A0075_8	14A0163_8	14A0395_8	14A0195_8	14A0435_8	14A0203_8	14A0185_8	14A0381_26	14A0445_8	14A0189_8	14A0085_8	14A0345_8	14A0409_26	14A0247_8	14A0211_26	14A0339_8	14A0093_26	14A0011_8	14A0205_8	14A0329_26
969149	1.0	14.0	540.0	9.0	6.0	69.0	2.0	12.0	7.0	3.0	0.0	19.0	0.0	119.0	0.0	39.0	51.0	43.0	0.0	0.0	0.0	1733.0	17.0	138.0	32.0	0.0	4.0	16.0	4.0	95.0	47.0	43.0	0.0	7.0	38.0	49.0	68.0	19.0	44.0	1.0	172.0	2.0	0.0	0.0	1.0	44.0	4.0	6.0	7.0	0.0	36.0	22.0	16.0	4.0	1.0	13.0	0.0	7.0	2.0	8.0	0.0	9.0	0.0	21.0	31.0	45.0	21.0	0.0	17.0	8.0	0.0	260.0	4.0	0.0	13.0	0.0	0.0	1.0	18.0	0.0	0.0	1.0	1.0	6.0	18.0	0.0	10.0	13.0	0.0	0.0	13.0	4.0	1.0	0.0	19.0	0.0	16.0	6.0	6.0	8.0	0.0	8.0	1.0	3.0	3.0	2.0	17.0	37.0	1.0	23.0	1.0	1.0	9.0	0.0	0.0	19.0	1.0	5.0	4.0	1.0	6.0	32.0	3.0	2.0	97.0	21.0	6.0	1973.0	771.0	1.0	1.0	2.0	0.0	0.0	48.0	31.0	49.0	0.0	20.0	0.0	10.0	6.0	8.0	0.0	1.0	2.0	1.0	0.0	29.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	0.0	0.0	0.0	5.0	2.0	0.0	21.0	5.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	16.0	0.0	4.0	0.0	8.0	15.0	8.0	10.0	7.0	7.0	1.0	16.0	3.0	3.0	14.0	2.0	3.0	3.0	4.0	2.0	6.0	9.0	3.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3486915	10.0	1.0	244.0	333.0	10.0	72.0	2.0	0.0	0.0	508.0	5.0	10.0	0.0	55.0	0.0	1.0	34.0	0.0	2.0	5.0	0.0	3.0	0.0	3.0	40.0	0.0	8.0	3.0	0.0	29.0	22.0	2.0	2.0	0.0	3.0	2.0	3.0	3.0	2.0	2.0	0.0	8.0	23.0	0.0	19.0	3.0	0.0	0.0	64.0	3.0	2.0	37.0	13.0	0.0	1.0	28.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	2.0	36.0	0.0	8.0	0.0	1.0	7.0	5.0	9.0	4.0	1.0	0.0	0.0	0.0	7.0	2.0	0.0	0.0	5.0	1.0	0.0	4.0	2.0	0.0	1.0	12.0	3.0	45.0	0.0	58.0	0.0	0.0	0.0	103.0	1.0	5.0	0.0	0.0	3.0	1.0	5.0	1.0	0.0	7.0	0.0	9.0	6.0	9.0	9.0	56.0	1.0	2.0	9.0	18.0	0.0	0.0	5.0	3.0	6.0	0.0	5.0	4.0	2.0	0.0	24.0	4.0	3.0	2.0	1.0	3.0	4.0	13.0	5.0	1.0	1.0	1.0	1.0	2.0	5.0	8.0	5.0	2.0	2.0	6.0	4.0	0.0	39.0	1.0	0.0	7.0	0.0	51.0	0.0	20.0	4.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	8.0	16.0	1.0	1.0	1.0	9.0	0.0	226.0	26.0	9.0	4.0	10.0	4.0	2.0	5.0	15.0	0.0	81.0	1.0	8.0	2.0	0.0	1.0	18.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	9.0	1.0	0.0	7.0	0.0	0.0	5.0	17.0	80.0	1.0	0.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	6.0	1.0	4.0	2.0	0.0	0.0	17.0	1.0	0.0	0.0
808437	4.0	0.0	31.0	2.0	6.0	3.0	1.0	8.0	1.0	1.0	0.0	14.0	1.0	15.0	1.0	0.0	2.0	55.0	1.0	0.0	0.0	7.0	12.0	25.0	39.0	0.0	15.0	14.0	0.0	146.0	1.0	8.0	1.0	0.0	6.0	17.0	8.0	15.0	2.0	6.0	3.0	9.0	1.0	0.0	1.0	10.0	15.0	0.0	7.0	0.0	3.0	3.0	2.0	0.0	0.0	0.0	0.0	9.0	4.0	1.0	0.0	1.0	1.0	28.0	1.0	7.0	1.0	3.0	9.0	49.0	1.0	223.0	1290.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	0.0	5.0	1.0	5.0	6.0	0.0	1.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	8.0	0.0	0.0	1.0	0.0	12.0	20.0	0.0	15.0	2.0	2.0	50.0	0.0	0.0	26.0	2.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	79.0	33.0	132.0	27.0	585.0	0.0	0.0	3.0	0.0	1.0	19.0	13.0	0.0	0.0	0.0	1.0	1.0	25.0	6.0	2.0	5.0	5.0	6.0	1.0	11.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	8.0	3.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	10.0	0.0	1.0	2.0	0.0	0.0	1.0	6.0	3.0	5.0	0.0	0.0	1.0	0.0	3.0	3.0	3.0	69.0	2.0	15.0	0.0	2.0	0.0	0.0	0.0	7.0	2.0	2.0	4.0	0.0	4.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0
750840	12.0	1.0	13495.0	231.0	18.0	110.0	1.0	4.0	3.0	253.0	5.0	48.0	8.0	215.0	2.0	25.0	17.0	4.0	3.0	1.0	16.0	106.0	17.0	88.0	5407.0	30.0	72.0	23.0	54.0	39.0	55.0	46.0	5.0	22.0	39.0	40.0	78.0	45.0	102.0	23.0	34.0	3.0	3.0	2.0	56.0	15.0	29.0	2.0	43.0	8.0	18.0	21.0	116.0	2.0	3.0	12.0	2.0	10.0	2.0	34.0	6.0	13.0	0.0	47.0	122.0	36.0	19.0	16.0	67.0	127.0	84.0	17.0	171.0	22.0	0.0	0.0	0.0	19.0	30.0	0.0	5.0	8.0	2.0	2.0	9.0	1.0	6.0	51.0	29.0	27.0	13.0	7.0	38.0	6.0	10.0	21.0	38.0	6.0	3.0	2.0	13.0	0.0	10.0	45.0	2.0	3.0	26.0	13.0	60.0	1.0	2.0	139.0	69.0	3.0	2.0	209.0	4.0	3.0	49.0	14.0	0.0	1.0	2.0	91.0	75.0	0.0	0.0	0.0	54.0	0.0	3.0	35.0	3.0	6.0	4.0	16.0	4.0	4.0	3.0	162.0	1.0	26.0	44.0	0.0	19.0	7.0	7.0	68.0	10.0	103.0	5.0	1.0	46.0	0.0	14.0	0.0	102.0	14.0	0.0	2.0	18.0	5.0	1.0	1.0	0.0	40.0	67.0	9.0	6.0	0.0	7.0	0.0	298.0	1.0	8.0	5.0	0.0	0.0	5.0	3.0	2.0	4.0	28.0	5.0	11.0	3.0	2.0	2.0	0.0	15.0	2.0	5.0	9.0	3.0	30.0	8.0	0.0	13.0	7.0	2.0	1.0	1.0	2.0	9.0	21.0	12.0	9.0	18.0	51.0	57.0	3.0	1.0	1.0	2.0	0.0	6.0	3.0	1.0	0.0	0.0	11.0	5.0	1.0	0.0	4.0	0.0	0.0	5.0
542475	4.0	2.0	63.0	100.0	30.0	29.0	1.0	3.0	15.0	27.0	17.0	2.0	9.0	49.0	1.0	4.0	8.0	13.0	5.0	4.0	0.0	11.0	1.0	84.0	970.0	3.0	173.0	94.0	44.0	122.0	43.0	0.0	14.0	16.0	19.0	15.0	77.0	41.0	50.0	4.0	6.0	2.0	1.0	7.0	20.0	2.0	14.0	0.0	150.0	9.0	9.0	12.0	42.0	15.0	1.0	13.0	7.0	9.0	183.0	186.0	7.0	4.0	9.0	7.0	33.0	8.0	43.0	0.0	1.0	825.0	11.0	5.0	50.0	1.0	0.0	8.0	2.0	560.0	21.0	3.0	0.0	23.0	4.0	0.0	11.0	6.0	7.0	8.0	4.0	8.0	45.0	1.0	36.0	0.0	4.0	60.0	6.0	16.0	0.0	14.0	10.0	31.0	36.0	13.0	0.0	0.0	24.0	9.0	21.0	189.0	9.0	9.0	41.0	3.0	29.0	367.0	19.0	3.0	7.0	14.0	13.0	86.0	6.0	30.0	64.0	13.0	0.0	22.0	46.0	14.0	18.0	18.0	141.0	0.0	53.0	4.0	18.0	0.0	2.0	2.0	5.0	10.0	84.0	1.0	7.0	6.0	7.0	1.0	27.0	81.0	8.0	0.0	0.0	0.0	1.0	3.0	10.0	36.0	6.0	10.0	6.0	3.0	2.0	2.0	3.0	98.0	7.0	19.0	0.0	2.0	6.0	0.0	80.0	2.0	219.0	2.0	1.0	20.0	20.0	14.0	0.0	11.0	76.0	38.0	28.0	2.0	3.0	35.0	3.0	1.0	4.0	1.0	0.0	5.0	50.0	25.0	213.0	4.0	6.0	28.0	0.0	2.0	203.0	12.0	18.0	0.0	12.0	21.0	2.0	0.0	1.0	3.0	20.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	2.0	4.0	0.0	12.0	6.0	0.0	0.0
332954	10.0	18.0	342.0	18.0	29.0	54.0	3.0	8.0	0.0	58.0	0.0	1.0	0.0	44.0	3.0	0.0	34.0	16.0	0.0	0.0	8.0	81.0	24.0	29.0	145.0	0.0	5.0	80.0	7.0	7.0	1.0	3.0	5.0	3.0	3.0	11.0	12.0	6.0	6.0	0.0	5.0	1.0	3.0	0.0	10.0	1.0	1.0	2.0	16.0	25.0	2.0	34.0	14.0	0.0	10.0	38.0	0.0	0.0	1.0	3.0	7.0	2.0	0.0	19.0	22.0	0.0	4.0	0.0	0.0	18.0	8.0	3.0	8.0	0.0	2.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	1.0	0.0	11.0	8.0	5.0	3.0	1.0	3.0	6.0	1.0	11.0	0.0	5.0	2.0	2.0	1.0	4.0	9.0	1.0	0.0	2.0	19.0	3.0	2.0	22.0	9.0	5.0	2.0	0.0	0.0	28.0	0.0	1.0	13.0	0.0	0.0	0.0	8.0	1.0	1.0	1.0	2.0	3.0	1.0	4.0	4.0	3.0	0.0	63.0	2.0	1.0	13.0	87.0	0.0	6.0	2.0	0.0	16.0	0.0	66.0	48.0	0.0	1.0	1.0	8.0	0.0	16.0	3.0	0.0	2.0	4.0	0.0	4.0	0.0	9.0	4.0	0.0	0.0	6.0	0.0	1.0	6.0	13.0	1.0	1.0	0.0	1.0	5.0	0.0	0.0	7.0	0.0	15.0	11.0	2.0	6.0	7.0	5.0	5.0	0.0	58.0	0.0	2.0	1.0	0.0	0.0	7.0	1.0	4.0	1.0	4.0	29.0	10.0	2.0	1.0	1.0	5.0	7.0	2.0	0.0	1.0	0.0	25.0	2.0	0.0	2.0	2.0	1.0	0.0	8.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	18.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
162149	1.0	2.0	353.0	0.0	8.0	132.0	1.0	35.0	1.0	0.0	0.0	5.0	0.0	43.0	3.0	40.0	2.0	13.0	0.0	0.0	0.0	129.0	9.0	14.0	12.0	11.0	53.0	13.0	19.0	36.0	20.0	72.0	1.0	0.0	19.0	11.0	16.0	2.0	5.0	6.0	16.0	2.0	0.0	0.0	17.0	3.0	5.0	2.0	0.0	2.0	12.0	26.0	0.0	1.0	0.0	5.0	0.0	0.0	4.0	1.0	1.0	3.0	0.0	1.0	72.0	9.0	28.0	5.0	11.0	1.0	3.0	8.0	2.0	5.0	1.0	0.0	3.0	0.0	21.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	10.0	0.0	0.0	12.0	0.0	26.0	0.0	3.0	2.0	15.0	2.0	1.0	0.0	2.0	0.0	2.0	6.0	9.0	0.0	2.0	5.0	139.0	0.0	0.0	0.0	32.0	0.0	2.0	0.0	0.0	15.0	1.0	1.0	0.0	5.0	0.0	0.0	114.0	0.0	0.0	3.0	0.0	0.0	1.0	61.0	17.0	1.0	23.0	7.0	2.0	0.0	1.0	20.0	5.0	35.0	26.0	0.0	0.0	3.0	46.0	0.0	42.0	12.0	0.0	0.0	16.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	20.0	0.0	0.0	0.0	0.0	5.0	0.0	474.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	48.0	2.0	1.0	9.0	37.0	1.0	0.0	61.0	0.0	0.0	1.0	0.0	4.0	0.0	45.0	1.0	0.0	1.0	0.0	3.0	0.0	2.0	39.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	19.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0
107137	22.0	2.0	3.0	136.0	25.0	62.0	0.0	0.0	24.0	109.0	0.0	3.0	0.0	11.0	1.0	1.0	0.0	2.0	1.0	0.0	23.0	0.0	0.0	5.0	35.0	0.0	34.0	3.0	11.0	19.0	16.0	12.0	3.0	0.0	2.0	0.0	8.0	15.0	11.0	2.0	1.0	2.0	2.0	1.0	1.0	9.0	5.0	0.0	2.0	1.0	16.0	13.0	2.0	0.0	32.0	0.0	1.0	3.0	25.0	2.0	0.0	0.0	0.0	4.0	2.0	8.0	31.0	2.0	0.0	26.0	0.0	1.0	11.0	1.0	0.0	0.0	0.0	19.0	154.0	0.0	0.0	26.0	0.0	0.0	5.0	0.0	0.0	5.0	296.0	6.0	6.0	0.0	283.0	0.0	1.0	308.0	18.0	4.0	0.0	10.0	0.0	34.0	9.0	1.0	6.0	0.0	9.0	0.0	8.0	128.0	23.0	6.0	95.0	0.0	0.0	0.0	156.0	1.0	134.0	246.0	0.0	4650.0	2.0	51.0	4.0	0.0	0.0	2.0	7.0	0.0	1.0	67.0	0.0	1.0	14.0	0.0	1.0	0.0	0.0	12.0	9.0	5.0	2.0	2.0	1.0	7.0	5.0	2.0	2.0	24.0	4.0	0.0	1.0	0.0	103.0	0.0	3.0	7.0	0.0	13.0	1.0	16.0	20.0	0.0	0.0	194.0	6.0	0.0	2.0	0.0	0.0	2.0	9398.0	1.0	6.0	1.0	38.0	72.0	42.0	1.0	16.0	2.0	0.0	2.0	0.0	0.0	2.0	10.0	185.0	0.0	5.0	0.0	0.0	2.0	27.0	10.0	25.0	1.0	1.0	16.0	1.0	0.0	184.0	10.0	78.0	1.0	0.0	19.0	18.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	3.0	0.0	1.0	3.0	0.0	0.0
763910	2.0	3.0	1548.0	631.0	242.0	42.0	8.0	258.0	0.0	14.0	17.0	8.0	0.0	60.0	5.0	0.0	56.0	90.0	0.0	0.0	4.0	45.0	18.0	42.0	256.0	8.0	293.0	103.0	22.0	87.0	32.0	2.0	0.0	0.0	92.0	44.0	23.0	23.0	155.0	4.0	73.0	1.0	1.0	206.0	392.0	0.0	0.0	3.0	0.0	0.0	80.0	8.0	6.0	0.0	23.0	3.0	0.0	36.0	12.0	1.0	0.0	5.0	0.0	0.0	0.0	11.0	0.0	21.0	22.0	8.0	0.0	1.0	344.0	1.0	1.0	0.0	15.0	1.0	32.0	6.0	0.0	6.0	1.0	0.0	3.0	0.0	0.0	0.0	6.0	17.0	94.0	13.0	52.0	0.0	0.0	0.0	22.0	1.0	35.0	37.0	2.0	0.0	0.0	12.0	0.0	0.0	2.0	0.0	44.0	1.0	5.0	2.0	322.0	0.0	1.0	151.0	26.0	162.0	2.0	13.0	0.0	22.0	1.0	0.0	20.0	7.0	0.0	0.0	1.0	0.0	0.0	58.0	0.0	0.0	166.0	1382.0	0.0	32.0	0.0	8.0	487.0	450.0	196.0	0.0	2.0	44.0	3.0	0.0	20.0	0.0	2.0	1.0	2.0	1.0	85.0	8.0	0.0	0.0	0.0	2.0	0.0	13.0	0.0	0.0	165.0	4.0	0.0	0.0	2.0	1.0	0.0	16.0	9.0	0.0	91.0	1985.0	0.0	1.0	36.0	0.0	0.0	0.0	5.0	0.0	15.0	1.0	0.0	0.0	27.0	16.0	0.0	17.0	0.0	4.0	2831.0	0.0	2.0	2.0	0.0	6.0	1.0	7.0	12.0	9.0	930.0	0.0	0.0	0.0	6.0	28.0	1.0	172.0	8.0	8.0	0.0	0.0	572.0	0.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0
928829	14.0	7.0	25727.0	456.0	51.0	43.0	0.0	0.0	6.0	167.0	0.0	6.0	24.0	198.0	0.0	0.0	0.0	7.0	1.0	2.0	22.0	26.0	38.0	100.0	593.0	17.0	1242.0	1.0	44.0	1967.0	115.0	19.0	1.0	39.0	21.0	135.0	25.0	2.0	53.0	21.0	93.0	7.0	0.0	0.0	6.0	26.0	9.0	0.0	14.0	6.0	43.0	32.0	15.0	47.0	1.0	9.0	2.0	5.0	4.0	0.0	10.0	19.0	0.0	5.0	21.0	36.0	27.0	2.0	46.0	350.0	0.0	32.0	1.0	1.0	3.0	4.0	2.0	2.0	3.0	2.0	0.0	13.0	0.0	2.0	8.0	0.0	1.0	7.0	23.0	51.0	11.0	2.0	20.0	0.0	31.0	19.0	30.0	2.0	1.0	68.0	23.0	11.0	1.0	6.0	8.0	1.0	12.0	9.0	0.0	4.0	0.0	7.0	10.0	3.0	0.0	34.0	3.0	107.0	4.0	13.0	0.0	6.0	7.0	0.0	21.0	64.0	3092.0	0.0	239.0	0.0	0.0	0.0	3.0	11.0	10.0	1.0	0.0	17.0	4.0	6.0	47.0	11.0	19.0	0.0	61.0	8.0	27.0	5.0	4.0	22.0	0.0	0.0	13.0	0.0	19.0	3.0	0.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	7.0	132.0	6.0	21.0	1.0	0.0	26.0	0.0	141.0	0.0	0.0	19.0	26.0	6.0	36.0	0.0	0.0	0.0	1.0	0.0	10.0	0.0	2.0	15.0	2.0	2.0	0.0	0.0	20.0	4.0	4.0	0.0	1.0	0.0	58.0	0.0	0.0	0.0	0.0	3.0	79.0	74.0	2.0	10.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	13.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0
